sort_no,term,definition,category,example,source_page,difficulty,tags
186,风餐露宿,在风中吃饭，在露天住宿。形容旅途中的辛苦劳累。筚路：柴车。蓝缕：又旧又破的衣服。意思是驾着柴车穿着破旧衣服去开辟山林。现用,第十八组 工作学习状态,,7,,
187,筚路蓝缕,来形容创业的艰难与辛苦。也作“荜路蓝缕”。（词义有拓展，也可形容事情发展的初期阶段）,第十八组 工作学习状态,,7,,
188,披星戴月,身披星光，头顶月色。形容早出晚归或连夜赶路。也作“披星带月”“戴月披星”。,第十八组 工作学习状态,,7,,
189,栉风沐雨,栉：梳头。沐：洗头。形容人辛苦地四处奔波。,第十八组 工作学习状态,,7,,
190,摩顶放踵,意思是从头顶到脚跟都擦伤了；形容不辞劳苦，不顾身体。,第十八组 工作学习状态,,7,,
191,胼手胝足,意思是手脚生茧。形容劳动十分辛勤。,第十八组 工作学习状态,,7,,
192,孜孜吃吃,意思是勤勉不懈的样子。,第十八组 工作学习状态,,7,,
193,孜孜不倦,孜孜：勤奋的样子。形容勤奋、不知疲倦。,第十八组 工作学习状态,,7,,
194,孜孜以求,孜孜：勤勉的样子。意思是不知疲倦地探求。,第十八组 工作学习状态,,7,,
195,条分缕析,缕：线。一条条分析。形容分析得有条理，很细致。,第十九组 正确做法,,7,,
196,抽丝剥茧,很有层次。意思是丝得一根一根地抽，茧得一层一层地剥；形容分析事物极为细致，而且一步一步,第十九组 正确做法,,7,,
197,深入浅出,指讲话或文章的内容深刻，语言文字却浅显易懂。,第十九组 正确做法,,7,,
198,纲举目张,指提起大网的总绳一撒，所有的网眼就都张开。比喻抓住事物的主要环节，就可带动一切。,第十九组 正确做法,,7,,
199,提纲挈领,意思是抓住事物的关键部分或者核心要点，然后用简洁明了的方式进行概述或表达。,第十九组 正确做法,,7,,
200,以一持万,用来形容抓住了关键的环节或因素，从而能够控制和影响整个局面。它强调的是在处理问题时识别并把握住核心部分的重要性，以此来驾驭复杂的情况或者广泛的领域。,第十九组 正确做法,,7,,
201,博采众长,博采：广泛搜集采纳。从多方面吸取各家的长处。,第十九组 正确做法,,7,,
202,见贤思齐,指见到有才德的人就想着与他齐平,第十九组 正确做法,,7,,
203,量力而行,意思是指根据自身的实际能力和条件来决定行动的范围，做事不要超过自己的能力范围，以免出现意外问题。,第十九组 正确做法,,7,,
204,厚积薄发,厚积：充分积累。薄发：少量地慢慢地释放。形容积累丰富的学问而不轻易表现出来。,第十九组 正确做法,,7,,
205,脚踏实地,比喻做事踏实，认真。,第十九组 正确做法,,7,,
206,当仁不让,（側重情理上）当：面对。仁：符合道义的事。后指遇到应该做的事，勇于承当，不推诿。,第十九组 正确做法,,7,,
207,义不容辞,义：道义。辞：推辞。道义上不容许推辞。指理应接受。（侧重良心、道义上）,第十九组 正确做法,,7,,
208,责无旁贷,责：责任。贷：推卸。指自己应尽的责任，不能推给别人。（侧重责任、职责上）,第十九组 正确做法,,7,,
209,过犹不及,过：过分。不及：不够。事情做得过了头，就跟做得不够一样，都不合适。,第二十组 错误做法,,7,,
210,矫枉过正,矫枉：矫正弯曲。指纠正偏失错误，超过了应有的限度。,第二十组 错误做法,,7,,
211,于事无补,指某种言行对于解决问题没有帮助。,第二十组 错误做法,,7,,
212,欲速不达,指违背规律、一味求快，反而达不到目的。,第二十组 错误做法,,7,,
213,作茧自缚,蚕吐丝作茧，把自己包在里面。比喻自己束缚了自己或使自己陷入困境把开水从锅中舀出来，再倒回去，以阻止锅中的水沸腾。,第二十组 错误做法,,7,,
214,扬汤止沸,比喻不能解决根本问题的做法。,第二十组 错误做法,,7,,
215,隔靴搔痒,比喻说话、做事、写文章不中肯，没有抓住关键。,第二十组 错误做法,,7,,
216,临渊羡鱼,比喻有欲望想得到某种东西，但却没有实际行动。,第二十组 错误做法,,7,,
217,有恃无恐,因有所依仗而毫不害怕。,第二十组 错误做法,,7,,
218,堂而皇之,公然而毫不掩饰，强调表面上的正当性或气势宏大，可能隐含虚伪或掩饰。（多含贬义）,第二十组 错误做法,,7,,
219,明目张胆,强调公开、毫无顾忌地做坏事，带有明显的贬义。,第二十组 错误做法,,7,,
220,画地为牢,牢：牢狱。在地上画个圈儿，作为牢狱。比喻局限在小圈子里活动。,第二十一组 某些国家的错误做法,,8,,
221,以邻为壑,壑：深沟。意为把邻国当成排洪水的沟壑。后用来比喻把困难、灾祸推给别人。（多宏观语境，国家、城市、地区等）,第二十一组 某些国家的错误做法,,8,,
222,穿凿附会,意思是把讲不通的或不相干的道理、事情硬扯在一起进行解释。,第二十一组 某些国家的错误做法,,8,,
223,亦步亦趋,步：走。趋：快走。比喻因缺乏主见，任何事都模仿、追随他人。（侧重行动）,第二十一组 某些国家的错误做法,,8,,
224,唯利是图,唯：只有；图：图谋，追求。只要有利可图，什么事都干。,第二十一组 某些国家的错误做法,,8,,
225,隔岸观火,指站在对岸观望火灾；用来比喻对别人的急难不加救助，而采取看热闹的态度。,第二十一组 某些国家的错误做法,,8,,
226,置身事外,置：安放。把自己放在事情之外。形容毫不关心。,第二十一组 某些国家的错误做法,,8,,
227,袖手旁观,袖手：把手揣在袖子里。比喻置身事外，既不过问，也不协助别人。（侧重从旁边看）原指双方交战，自己站在壁垒上旁观。后多比喻站在一旁看着，不动手帮助。,第二十一组 某些国家的错误做法,,8,,
228,坐收渔利,比喻利用别人的矛盾而从中获利。,第二十一组 某些国家的错误做法,,8,,
229,坐享其成,意思为自己不出力而享受别人取得的成果。,第二十一组 某些国家的错误做法,,8,,
230,竭泽而渔,排尽湖中或池中的水捕鱼。比喻取利只顾眼前，不作长远打算。,第二十一组 某些国家的错误做法,,8,,
231,杀鸡取卵,卵：蛋。为了要得到蛋，不惜把鸡杀了。比喻贪图眼前微小的好处而损害长远的利益。寅、卯：古代用于纪年等的十二地支中的两个，寅在卯之前。寅年吃了卵年的粮食。比,第二十一组 某些国家的错误做法,,8,,
232,寅吃卯粮,喻经济困难，入不敷出。同“寅支卯粮”。侧重由于有困难而提前预支，只顾眼前不顾未来）,第二十一组 某些国家的错误做法,,8,,
233,饮鸠止渴,鸩：毒酒。比喻用有害的方法解决面临的困难，而不顾后果。,第二十一组 某些国家的错误做法,,8,,
234,急功近利,功：成功；近：眼前的。急于求成，贪图眼前的成效和利益。,第二十一组 某些国家的错误做法,,8,,
235,颠沛流离,颠沛：跌倒，比喻困顿，受挫折。流离：流转离散。形容生活困苦，流落异乡，无安身之所。（可指人，也可指物）,第二十二组 国家安定与动荡,,8,,
236,流离失所,失所：失去安身之处。形容到处流浪，没有安身的地方。（多指因灾荒、战乱等导致的失去居所背：离开。井：古制八家为井，这里指家宅。指被迫离开家乡，到外地求生。（也指主动,第二十二组 国家安定与动荡,,8,,
237,背井离乡,离开家乡，到外地生活/工作）,第二十二组 国家安定与动荡,,8,,
238,民不聊生,聊：依靠，依赖。百姓没有办法生活下去。形容生活极端困苦。（多形容整体社会环境）,第二十二组 国家安定与动荡,,8,,
239,安居乐业,安：安定；乐：喜爱，愉快；业：职业。指安定愉快地生活和劳动。,第二十二组 国家安定与动荡,,8,,
240,海晏河清,晏：平静。黄河水清了，大海没有浪了。比喻天下太平。,第二十二组 国家安定与动荡,,8,,
241,安土重迁,土：乡土；重：看得重，不轻易。安于本乡本土，不愿轻易迁移。,第二十二组 国家安定与动荡,,8,,
242,国泰民安,泰：太平。国家太平，人民生活安定。形容社会安定，人民生活幸福。,第二十二组 国家安定与动荡,,8,,
243,休戚与共,休：欢乐，吉庆。戚：忧愁，悲哀。指忧喜祸福彼此共同承担。形容关系密切同甘共苦。,第二十三组 国际国内关系,,8,,
244,休戚相关,。同“休戚与共”。休：喜悦，吉利。戚：忧愁，悲哀。欢乐、忧愁彼此相关联。形容关系密切，利害相关,第二十三组 国际国内关系,,8,,
245,息息相关,息相通”。息：呼吸进出的气息。呼吸时进出的气息相互关连。形容关系或联系非常密切。同“息,第二十三组 国际国内关系,,8,,
246,同舟共济,济：过。同乘一条船过河。比喻齐心协力渡过困难。,第二十三组 国际国内关系,,8,,
247,同心同德,思想统一，信念一致。形容大家团结一条心。,第二十三组 国际国内关系,,8,,
248,和衷共济,齐心协力。衷：内心。和衷：指同心。大家同心渡过江河。比喻同心协力，渡过难关。现也可比喻,第二十三组 国际国内关系,,8,,
249,水乳交融,水和乳汁融合在一起。比喻意气相投、感情融洽。（侧重融合）,第二十三组 国际国内关系,,8,,
250,相濡以沫,濡：沾湿，浸润。沫：唾沫。意为泉水干涸，鱼用唾沫相互湿润。后比喻在困境中用微薄的力量相互帮助。,第二十三组 国际国内关系,,8,,
251,守望相助,守：防守。望：瞭望。指彼此关照，互相帮助。,第二十三组 国际国内关系,,9,,
252,一衣带水,原形容像一条衣带那样狭窄的河流。现比喻仅隔一水，极其邻近。,第二十三组 国际国内关系,,9,,
253,唇齿相依,嘴唇与牙齿互相依存。比喻关系极为密切。,第二十三组 国际国内关系,,9,,
254,以邻为壑,壑：深沟。意为把邻国当成排洪水的沟壑。后用来比喻把困难、灾祸推给别人。（多宏观语境，国家、城市、地区等）,第二十三组 国际国内关系,,9,,
255,波诡云谲,好象云彩和水波那样，形态不可捉摸。,第二十三组 国际国内关系,,9,,
256,风云变幻,风、云：风和云，比喻变幻动荡的局势。变幻：变化不定。像风和云那样变化莫测。比喻局势多变或情况复杂。,第二十三组 国际国内关系,,9,,
257,纵横捭阖,纵横：用游说来联合。捭阖：开合。指在政治、外交上运用手段进行联合或分化。,第二十三组 国际国内关系,,9,,
258,沆瀣一气,泛指臭味相投的人结合在一起。,第二十三组 国际国内关系,,9,,
259,同流合污,原指言行与不良的习俗、世道相合。后指跟坏人一起干坏事。,第二十三组 国际国内关系,,9,,
260,因地制宜,根据不同地方的基本情况，制定相应的办法。,第二十四组 政府优秀做法,,9,,
261,量体裁衣,按身材裁剪衣服。也比与按实际情况办事。,第二十四组 政府优秀做法,,9,,
262,对症下药,医生针对病症开方用药。比喻针对问题所在确定解决方法。,第二十四组 政府优秀做法,,9,,
263,有的放矢,的：箭靶。矢：箭。对着靶子射箭。比喻目的性强，有针对性。,第二十四组 政府优秀做法,,9,,
264,因势利导,因：顺着。势：趋势。利导：引导。指顺着事物的发展趋势而加以引导。（褒义）,第二十四组 政府优秀做法,,9,,
265,保驾护航,保护某事物能让其能正常发展。,第二十四组 政府优秀做法,,9,,
266,穿针引线,使线的一头通过针眼。比喻从中联系、拉拢。,第二十四组 政府优秀做法,,9,,
267,广开言路,广：扩大；言路：进言的道路。指尽量给下面创造发表意见的条件。,第二十四组 政府优秀做法,,9,,
268,集思广益,集：积重。思：想法，智慧。广：扩大。指集中众人的智慧，可以收到更好的效果。形容要求我们讲道德，重操守，严纪律，不谋私，顾大局，淡名利，讲友爱，重团结，,第二十四组 政府优秀做法,,9,,
269,风清气正,多奉献。,第二十四组 政府优秀做法,,9,,
270,正本清源,正本：从根本上整顿；清源：从源头上清理。从根本上整顿，从源头上清理。比喻从根本上加以整顿清理。,第二十四组 政府优秀做法,,9,,
271,开源节流,开发财源，节省支出，以储蓄财力。,第二十五组 合理规划,,9,,
272,降本增效,含义是在企业管理中通过一系列措施来实现成本的降低和效益的增加。,第二十五组 合理规划,,9,,
273,精打细算,意思是精密地计划，详细地计算。指在使用人力、物力时计算得很精细。,第二十五组 合理规划,,9,,
274,细水长流,比喻节约使用财物。也比喻一点一滴不间断地做某件事，精细安排，长远打算。,第二十五组 合理规划,,9,,
275,量入为出,入：收入。根据收入的情况来安排支出。,第二十五组 合理规划,,9,,
276,立竿见影,在阳光下竖起竹竿，立刻就能看到它的影子。比喻效果显著迅速。,第二十五组 合理规划,,9,,
277,一劳永逸,逸：安逸。指辛苦一次把事情办好，以后就不用费力了。,第二十五组 合理规划,,9,,
278,行之有效,之：代词，它，指办法、措施等；效：成效，效果。实行起来有成效。指某种方法或措施已经实行过，证明很有效用。,第二十五组 合理规划,,9,,
279,一蹴而就,蹴：踏；就：成功。踏一步就可以获得成功，比喻事情很容易做。同“一蹴而得”。（多用于否定句中）,第二十六组 政策措施的评价,,9,,
280,一步登天,比喻一下达到很高的境界、程度。也比喻人一下子爬上高位。（多含贬义）,第二十六组 政策措施的评价,,9,,
281,迎刃而解,刃：刀刃。解：分开。把竹子劈开口，下面的一段竹子就迎着刀刃裂开了。比喻主要问题解决了，其他的问题就很容易解决。（常搭配“问题”）,第二十六组 政策措施的评价,,9,,
282,事半功倍,事：所要做的事情，指措施。功：功效。形容费力小，收效大。,第二十六组 政策措施的评价,,9,,
283,釜底抽薪,釜：锅。薪：柴。从锅底下抽出柴火。比喻从根本上解决问题。,第二十六组 政策措施的评价,,9,,
284,标本兼治,标本：事物的枝节和根本。从枝节和根本方面都得到治理。,第二十六组 政策措施的评价,,9,,
285,触手可及,伸手便可接触到。形容距离很近。,第二十七组 成功与失败,,10,,
286,唾手可得,唾手：往手上吐唾沫。比喻极容易得到。,第二十七组 成功与失败,,10,,
287,手到擒来,擒：捉拿。一出手就把人捉住。形容做事毫不费力或很有把握。信手：随手；拈：用两三个手指头捏东西。随手拿来，多指写文章时能自由纯熟地选用,第二十七组 成功与失败,,10,,
288,信手拈来,词语或应用典故、素材，用不着怎么思考。（多用于引用资料、数据、典故等，也可形容做事不费力）,第二十七组 成功与失败,,10,,
289,游刃有余,比喻工作熟练，实际经验很丰富，解决困难问题毫不费事。［近］应付自如。,第二十七组 成功与失败,,10,,
290,束手无策,策：办法。手被捆住，无法应对。形容遇到问题没有解决的办法。,第二十七组 成功与失败,,10,,
291,一筹莫展,筹：计策。展：施展。一点计策也施展不出。形容没有一点办法。,第二十七组 成功与失败,,10,,
292,功亏一篑,篑：盛土的筐，指一筐土。后用来比喻做事情只差最后一点而前功尽弃,第二十七组 成功与失败,,10,,
293,事与愿违,事：事实。愿：心愿，愿望。事实与主观愿望相反。（侧重没达到）,第二十七组 成功与失败,,10,,
294,适得其反,适：恰好。结果与愿望恰好相反。（侧重取得反面结果）,第二十七组 成功与失败,,10,,
295,功败垂成,垂：接近，将要。事情在将要成功的时候失败了。含惋惜意。同“事败垂成,第二十七组 成功与失败,,10,,
296,失之交臂,交臂：胳膊碰胳膊，指擦肩而过。形容当面错过。,第二十七组 成功与失败,,10,,
297,高屋建瓴,建：倾倒。瓴：水瓶。从高屋脊上往下倒瓶中的水。形容居高临下，不可阻挡的形势。,第二十八组领导力,,10,,
298,高瞻远瞩,瞻：望。瞩：注视。登高望远。形容目光远大。（更宏观）,第二十八组领导力,,10,,
299,深谋远虑,计谋深远，考虑周密。,第二十八组领导力,,10,,
300,审时度势,。用来指对形势有洞察力。也作“审时定势”、“审几度势”。审：详查，观察。时：当前情况。度：估计。势：发展趋势。观察时机，估计发展趋势,第二十八组领导力,,10,,
301,运筹帷幄,筹：谋划。帷幄：古代军队中的帐幕。指在帐幕中谋划计策。后指在后方指挥、筹划。,第二十八组领导力,,10,,
302,统筹兼顾,意思是统一筹划，全面照顾。,第二十八组领导力,,10,,
303,身体力行,身：亲身。体：体验。指亲身体验，努力实践。,第二十八组领导力,,10,,
304,亲历亲为,亲自参与，不由别人来代替。,第二十八组领导力,,10,,
305,克己奉公,克己：约束自己；奉公：以公事为重。克制自己的私心，一心为公。,第二十八组领导力,,10,,
306,以身作则,身：自身。则：榜样。自己以行动给大家做出榜样。,第二十八组领导力,,10,,
307,上行下效,行：做。效：效法。指上面的人怎么做，下面的人就跟着怎么干。,第二十八组领导力,,10,,
308,事必躬亲,躬亲：亲自做。凡事都一定要自己亲自去做。,第二十八组领导力,,10,,
309,事无巨细,巨细：大小。事情不分大小。,第二十八组领导力,,10,,
310,一以贯之,指做人做事，按照一个道理，从始至终都不会改变。贯：一直，习惯。,第二十八组领导力,,10,,
311,矢志不渝,（矢：誓；渝：改变）指立下志愿，绝不改变。,第二十八组领导力,,10,,
312,坚定不移,意思是稳定坚强，毫不动摇；不放弃，不改变自己的想法。,第二十八组领导力,,10,,
313,前仆后继,意思是指前面的人倒下了，后面的人继续跟上去。英勇斗争，不怕牺牲,第二十九组 正义精神和做法,,10,,
314,视死如归,把死看得像回家一样平常。形容不怕牺牲生命。,第二十九组 正义精神和做法,,10,,
315,大义凛然,大义：正义。凛然：令人敬畏的样子。形容为了坚持真理而表现出的严峻不可侵犯的样子。,第二十九组 正义精神和做法,,10,,
316,勇往直前,往：去。勇敢地一直前进。,第二十九组 正义精神和做法,,10,,
317,挺身而出,形容面对着艰难或危险的事情，勇敢地站出来。,第二十九组 正义精神和做法,,10,,
318,蹲厉奋发,踔chuo，形容精神振奋，斗志昂扬。,第二十九组 正义精神和做法,,10,,
319,笃行不怠,意思是切实履行自己所学的内容，不感到倦怠。,第二十九组 正义精神和做法,,10,,
320,赓续前行,意思是指不断地延续和发展，保持进步的态度和生活方式。,第二十九组 正义精神和做法,,11,,
321,奋楫争先,意思是奋力划动船桨的人争先恐后走在前头。,第二十九组 正义精神和做法,,11,,
322,砥砺前行,经历磨炼，克服困难，往前进步的意思。也作“砥砺奋进”。,第二十九组 正义精神和做法,,11,,
323,勇毅前行,意思是勇敢并且坚毅地向前进步或发展。原意是作战擂响第一声战鼓时，士气最为高涨，比喻趁劲头大的时候鼓起干劲，一口气,第二十九组 正义精神和做法,,11,,
324,一鼓作气,把工作做完。,第二十九组 正义精神和做法,,11,,
325,好高骛远,骛：通“务”，追求。指不切实际地追求过高、过远的目标。,第三十组 干部易犯错误,,11,,
326,好大喜功,喜欢做大事、立大功。多形容浮夸、不切实际的行为。,第三十组 干部易犯错误,,11,,
327,沽名钓誉,比喻故意矫情做作，用手段猎取名声或赞誉。附庸：依傍，追随；风雅：泛指诗歌。指缺乏文化修养的人为了装点门面而结交文人，,第三十组 干部易犯错误,,11,,
328,附庸风雅,参加有关文化活动，以示自己有一定的文化素养。（装文化人）,第三十组 干部易犯错误,,11,,
329,独善其身,意思是不得志时也要注意自身的修养。后指只顾保持自身修养而不顾他人或全局。（语境要素：个人与外部的对比、保全保护）,第三十组 干部易犯错误,,11,,
330,明哲保身,明哲：聪明有智慧。指聪明有智慧之人，善于趋安避危，保全自身。也指为保全个人利益而回避原则问题的处世态度。,第三十组 干部易犯错误,,11,,
331,虚与委蛇,虚：不真实，假意。与：跟。委蛇：敷衍。指对人虚情假意，敷衍应酬。,第三十组 干部易犯错误,,11,,
332,委曲求全,曲意迁就，以求事成，或保全大局。,第三十组 干部易犯错误,,11,,
333,敷衍塞责,敷衍：马虎应付。塞责：搪塞责任。做事马虎，应付一下以搪塞责任。,第三十组 干部易犯错误,,11,,
334,曲意逢迎,曲意：违背本意。违背自己的本心，千万百计迎合或讨好别人。,第三十组 干部易犯错误,,11,,
335,投其所好,意思是迎合别人的喜好。,第三十组 干部易犯错误,,11,,
336,阿谀奉承,阿谀逢迎”。阿谀：为讨好而说好听的话。奉承：恭维别人。为讨好而说好听的话恭维别人。也作“,第三十组 干部易犯错误,,11,,
337,趋炎附势,趋：奔走；炎：热，比喻权势。奉承和依附有权有势的人。,第三十组 干部易犯错误,,11,,
338,如蚁附膻,附：趋附；膻：羊肉的气味。象蚂蚁趋附羊肉一般。比喻许多臭味相投的人追求不好的事物。也比喻许多人依附有钱有势的人。,第三十组 干部易犯错误,,11,,
339,兴师动众,意思是指大规模出兵。现多指动用很多人力做某件事。,第三十组 干部易犯错误,,11,,
340,劳民伤财,意思是既使人民劳苦，又耗费钱财；现也指滥用人力物力。,第三十组 干部易犯错误,,11,,
341,朝令夕改,早上颁布的政令，晚上就改了。形容政令无常。也形容主张、办法等经常改变。,第三十组 干部易犯错误,,11,,
342,粗枝大叶,意思是比喻工作粗糙，不认真细致，马虎大意。原意是指大行其道，使天下化之。后来这个成语的意思演变成了形容做事情不够谨慎，,第三十组 干部易犯错误,,11,,
343,大而化之,疏忽大意。,第三十组 干部易犯错误,,11,,
344,哗众取宠,用浮夸的言词或做作的行动去迎合群众，以博取好感和支持。,第三十组 干部易犯错误,,11,,
345,重蹈覆辙,蹈：踏上；覆：翻倒；辙：车轮轧出的痕迹。本义为再走翻过车的老路，比喻不吸取失败的教训，重犯以前的错误。,第三十组 干部易犯错误,,11,,
346,从谏如流,谏：直言规劝。听从规劝像流水一样自然。形容乐于接受别人的批评意见。,第三十一组对待错误的态度,,11,,
347,从善如流,人的好意见。从：听从；善：好的，正确的；如流：好像流水向下，形容迅速。形容能迅速地接受别,第三十一组对待错误的态度,,11,,
348,闻过则喜,过：过失；则：就。听到别人批评自己的缺点或错误，表示欢迎和高兴。指虚心接受意见。,第三十一组对待错误的态度,,11,,
349,虚怀若谷,虚：谦虚；谷：山谷。胸怀象山谷一样深广。形容十分谦虚，能容纳别人的意见。,第三十一组对待错误的态度,,11,,
350,文过饰非,文、饰：掩饰；过、非：错误。用漂亮的言词掩饰自己的过失和错误。,第三十一组对待错误的态度,,11,,
351,怙恶不悛,怙：依靠，依仗；悛：改过，悔改。坚持作恶，不肯悔改。,第三十一组对待错误的态度,,11,,
352,欲盖弥彰,盖：遮掩；弥：更加；彰：明显。想掩盖坏事的真相，结果反而更明显地暴露出来。,第三十一组对待错误的态度,,11,,
353,刚愎自用,愎：任性；刚愎：强硬固执；自用：自以为是。十分固执自信，不考虑别人的意见。,第三十一组对待错误的态度,,12,,
354,固执己见,顽固地坚持自己的意见，不肯改变。,第三十一组对待错误的态度,,12,,
355,洗心革面,洗心：指清除坏思想。革面：改变旧面貌。比喻彻底悔改。,第三十二组 改变与不变,,12,,
356,脱胎换骨,原为道教用语。指修道者得道以后，就转凡胎为圣胎，换凡骨为仙骨。现比喻通过教育，思想得到彻底改造。,第三十二组 改变与不变,,12,,
357,改头换面,1.原为佛教语。指众生在轮回中形变神不变。2.指改变面目。3.指改正错误。4.比喻只改变形式，而内容、实质不变。,第三十二组 改变与不变,,12,,
358,一成不变,成：形成。指事物一形成就不再改变。多用于否定句中。,第三十二组 改变与不变,,12,,
359,亘古不变,从古至今永远也不会改变。多褒义,第三十二组 改变与不变,,12,,
360,改弦更张,更：改换；张：给乐器上弦。改换、调整乐器上的弦，使声音和谐。比喻改革制度或变更计划、方法。改弦：更换琴弦。易：改变。辙：车轮压过的痕迹，指道路。比喻改变方向或做法。同,第三十二组 改变与不变,,12,,
361,改弦易辙,“更弦易辙”“改辕易辙”。,第三十二组 改变与不变,,12,,
362,变幻莫测,变幻：没有规则地改变。变化奇特，不可预测。,第三十二组 改变与不变,,12,,
363,瞬息万变,瞬：一眨眼。息：一呼吸。在极短时间里就发生很多变化。形容变化很多很快。,第三十二组 改变与不变,,12,,
364,经久不衰,1.精神饱满的状态，身体健壮的外表，或幼年期到成年期之间的时期的精神特征；青年人的活力或朝气。2.形容某事或某人经历很长时间仍旧保持较高的旺盛状态事例。,第三十二组 改变与不变,,12,,
365,经久不息,经过长时间停不下来。,第三十二组 改变与不变,,12,,
366,长盛不衰,长久兴盛而不衰败，比喻长时间保持旺盛的势头。,第三十二组 改变与不变,,12,,
367,今非昔比,现在不能和过去相比。形容变化大。（多形容现在比过去好）,第三十二组 改变与不变,,12,,
368,天翻地覆,覆：翻过来。形容变化巨大。也形容闹得很凶。,第三十二组 改变与不变,,12,,
369,时过境迁,境：环境。迁：变迁。时间过去了，环境或情况也随之改变了。,第三十二组 改变与不变,,12,,
370,沧海桑田,桑田：种桑树的地。大海变为桑田，桑田变为大海。比喻世事变化非常大。,第三十二组 改变与不变,,12,,
371,斗转星移,斗：北斗星。1.表示一夜之间时间的推移。后也指岁月流逝。,第三十二组 改变与不变,,12,,
372,白云苍狗,苍：青色，泛指青黑色。比喻世事变化无常。也作“白衣苍狗”。,第三十二组 改变与不变,,12,,
373,恍如隔世,恍：仿佛；世：三十年为一世。仿佛隔了一个时代。因人事或景物变化大引起的感触。,第三十二组 改变与不变,,12,,
374,根深蒂固,蒂：草木之根。比喻基础稳固。（中性，侧重深）,第三十二组 改变与不变,,12,,
375,积习难改,积习：指多年养成的习惯。长期形成的某种习惯，很难改变。积：积习。返：返回，回头。积习深重，难以改变。多指长期存在的恶习，弊端已经发,第三十二组 改变与不变,,12,,
