sort_no,term,definition,category,example,source_page,difficulty,tags
564,鞭辟入里,形容做学问切实。今多形容分析问题透彻，切中要害。,第五十组 看事情透彻,,18,,
565,一针见血,意思是比喻说话直截了当，切中要害。,第五十组 看事情透彻,,18,,
566,一语中的,意思是指一句话就说中要害，一句话就说清了事情的重点。,第五十组 看事情透彻,,18,,
567,一语成谶,-句不好的话说中了，“不幸而言中”。,第五十组 看事情透彻,,18,,
568,字字珠玑,比喻说话或文章的词句非常优美，就像每个字都是珍贵的珍珠一样。,第五十组 看事情透彻,,18,,
569,洞若观火,洞：透彻。指清楚得就像看火一样，形容观察事物透彻分明。,第五十组 看事情透彻,,18,,
570,明察秋毫,明：视觉敏锐。察：看。秋毫：鸟兽秋天新长出的细毛。本义为视力好到能查辨秋天鸟兽的细毛。后多形容人精明，目光敏锐，能洞察一切。,第五十组 看事情透彻,,18,,
571,一目了然,一目：看一眼。了然：清楚，明白。一眼就可以看清楚。（侧重看得清楚）,第五十组 看事情透彻,,18,,
572,一览无余,（侧重看的全）览：看。余：剩余。形容一下子就可以看清楚。同“一览无遗”“一览而尽”。,第五十组 看事情透彻,,18,,
573,大有可为,比喻指前途极有希望，值得去做。,第五十一组对事情的态度与评价,,18,,
574,无可厚非,意为不可过分指责，表示虽有缺点，但是可以理解或原谅。也说未可厚非。,第五十一组对事情的态度与评价,,18,,
575,无可非议,意思是没有什么可以指责的，表示言行合乎情理。可用来形容人、事、思想、行动、品质等。差：尚，稍微。强：振奋。还算能振奋心意。形容大致上还能够令人满意。,第五十一组对事情的态度与评价,,18,,
576,差强人意,（现多误用，辨析词义,第五十一组对事情的态度与评价,,18,,
577,敬而远之,；表示尊敬却有所顾虑不愿接近。,第五十一组对事情的态度与评价,,18,,
578,毋庸讳言,意思是指用不着隐讳，可以直说的内容。毋庸指不用。,第五十一组对事情的态度与评价,,18,,
579,缄口不言,缄：封闭；言：说话。封住嘴巴；不开口说话。,第五十一组对事情的态度与评价,,18,,
580,乏善可陈,善：良好成绩；陈：陈述，告诉。意思是没有什么好的可以称道的。,第五十一组对事情的态度与评价,,18,,
581,凤毛麟角,风毛：风凰的毛。麟角：麒麟的角。比喻珍贵而稀少的人或事物。,第五十二组 数量多与少,,18,,
582,寥寥无几,寥寥：很少。很少，没有几个。形容数量极少。,第五十二组 数量多与少,,18,,
583,屈指可数,屈指：弯着手指头计算数日。弯着手指就可以数出来。形容数目很少。,第五十二组 数量多与少,,19,,
584,寥若晨星,稀少得好像清晨的星星一样。形容很少。,第五十二组 数量多与少,,19,,
585,车载斗量,能用车载，能用斗量，比喻数量多，不可胜数，多指不足为奇，很常见,第五十二组 数量多与少,,19,,
586,不胜枚举,【多用于形容举例子、枚举时）胜：尽。枚：量词，个。举：列举。不能够一个一个地全部列举出来。形容数量很多。,第五十二组 数量多与少,,19,,
587,俯拾皆是,形容到处都有，很容易取得。,第五十二组 数量多与少,,19,,
588,数不胜数,数：计算。胜：尽。形容数量极多，数也数不完。不是一事一物能够使之满足的。后也用来形容所说的事物或现象不止一种，而是很多，,第五十二组 数量多与少,,19,,
589,不一而足,不能一一列举。,第五十二组 数量多与少,,19,,
590,五花八门,原指五行阵和八门阵。这是古代两种战术变化很多的阵势。比喻变化多端或花样繁多。,第五十二组 数量多与少,,19,,
591,包罗万象,包罗：包括；万象：宇宙间的一切景象，指各种事物。形容内容丰富，应有尽有。,第五十二组 数量多与少,,19,,
592,林林总总,•林林：众多的样子；总总：众多而杂乱的样子。形容众多。,第五十二组 数量多与少,,19,,
593,汗牛充栋,充：装满。栋：栋宇，房屋。形容藏书或者著作极多。,第五十二组 数量多与少,,19,,
594,浩如烟海,【（多指书籍、文献等）浩：广大。烟海：雾气弥漫的大海。形容事物数量繁多，极其丰富。,第五十二组 数量多与少,,19,,
595,卷帙浩繁,形容书籍很多或一部书的篇幅很长。,第五十二组 数量多与少,,19,,
596,错落有致,意思是形容事物的布局虽然参差不齐，但却极有情趣，使人看了有好感,第五十三组建筑相关,,19,,
597,鳞次栉比,鳞：鱼鳞。次：次序。栉：梳子和篦子的总称。比：排列。像鱼鳞或梳篦的齿那样紧密地排列着。形容建筑物等密集、排列整齐的样子。,第五十三组建筑相关,,19,,
598,星罗棋布,意思是像天空中的星星和棋盘上的棋子一样罗列、分布着。形容数量众多，散布的范围很广。,第五十三组建筑相关,,19,,
599,美轮美奂,多用于形容建筑物雄伟壮观，富丽堂皇；也用来形容雕刻或建筑艺术的精美效果。,第五十三组建筑相关,,19,,
600,富丽堂皇,形容建筑物宏伟豪华。,第五十三组建筑相关,,19,,
601,雕梁画柱,彩绘装饰得十分华丽的房屋。,第五十三组建筑相关,,19,,
602,如出一辙,辙：车辙。好像出自同一车辙。比喻两种事物非常相似。（或两种以上事物）,第五十四组 相同与不同,,19,,
603,大同小异,指事物大体相同，略有差异。,第五十四组 相同与不同,,19,,
604,千篇一律,一千篇文章都一个样。指文章公式化。也比喻办事按一个格式，非常机械。,第五十四组 相同与不同,,19,,
605,不约而同,原意是事先没有约定而一齐前来会合。后用来指没有事先商量约定而彼此的看法或言行相同。（侧重行为上）,第五十四组 相同与不同,,19,,
606,不谋而合,【侧重思想上）谋：商量；合：相同。事先没有商量而彼此的做法或意见却相同。也作“不谋而同”。,第五十四组 相同与不同,,19,,
607,殊途同归,不同的；途：道路，途径；归：趋向。从不同的道路，走到同一个目的地。比喻采取不同的方法而得到相同的结果。,第五十四组 相同与不同,,19,,
608,异曲同工,曲：曲调。工：工巧，精致。比喻不同人的文艺作品同样精彩。也比喻不同的做法有同样的好的效果。,第五十四组 相同与不同,,19,,
609,大相径庭,径：门外小路。庭：厅堂前得院子。指彼此相差很远或截然不同。泾、滑：甘肃、陕西境内的两条河。古人认为泾水清、渭水浊。泾水流入渭水时，清浊,第五十四组 相同与不同,,19,,
610,泾渭分明,不混。比喻界限清楚、是非分明。,第五十四组 相同与不同,,19,,
611,相去甚远,互相之间存在很大差异和距离。,第五十四组 相同与不同,,19,,
612,判若云泥,意思是高低差别就像天上的云彩和地下的泥土那样悬殊。,第五十四组 相同与不同,,19,,
613,天壤之别,1指高天和平地的区别。极言差别之大。,第五十四组 相同与不同,,19,,
614,不分轩轻,意思是不分高下、轻重。比喻对待二者的态度或看法差不多。,第五十四组 相同与不同,,19,,
615,伯仲之间,伯伸，兄弟排行的次第，伯是老大，伸是老二；间，中间。比喻差不多，难分优劣。,第五十四组 相同与不同,,19,,
616,各有千秋,千秋：千年，指久远。各自有其可以长久流传的价值。也比喻各有各的优点和特色。,第五十四组 相同与不同,,20,,
617,平分秋色,原指昼和夜平均分占秋天景色。后比喻双方各得一半。也比喻两方平手，不分上下。庭：庭院。抗：对等。客人与主人分立在庭的两侧，以平等的地位相对行礼。后用来比,第五十四组 相同与不同,,20,,
618,分庭抗礼,喻彼此地位或势力相等，平起平坐或互相对立。,第五十四组 相同与不同,,20,,
619,巧夺天工,夺：压倒，胜过。人工的精巧胜过天然。形容技艺精妙高超。,第五十五组 技艺精湛,,20,,
620,精雕细琢,精心细致地雕刻琢磨。形容做事仔细用心。多指艺术品的创作。,第五十五组 技艺精湛,,20,,
621,鬼斧神工,形容技艺高超神妙。同“神工鬼斧”。（侧重非人工的）,第五十五组 技艺精湛,,20,,
622,精益求精,原意是已经很精致了，还要更加精致。精：完美，好；益：更加。比喻已经很好还求更好。,第五十五组 技艺精湛,,20,,
623,炉火纯青,意思是认为炼到炉里发出纯青色的火焰就算成功了，后用来比喻功夫达到了纯熟完美的境界。,第五十五组 技艺精湛,,20,,
624,登堂入室,堂、室：古代宫室前为堂后为室。比喻学识由浅入深，逐步达到很高的成就。同“升堂入室”。,第五十五组 技艺精湛,,20,,
625,登峰造极,意思是登上顶峰，指到达最高点；比喻学问、技艺等已达到最高的境界,第五十五组 技艺精湛,,20,,
626,目无全牛,比喻技艺熟练到了得心应手的境界。,第五十五组 技艺精湛,,20,,
627,得心应手,得心：指摸索到规律；应：适应。谓心手相应，运用自如。形容技艺纯熟，心手相应，或学识融会贯通。,第五十五组 技艺精湛,,20,,
628,粗制滥造,意思是写文章或做东西马虎草率，只求数量，不顾质量。,第五十五组 技艺精湛,,20,,
629,蔚为大观,种盛大的印象。蔚：茂盛；大观：盛大的景象。发展成为盛大壮观的景象。形容事物美好繁多，给人一,第五十六组 与观看欣赏相关,,20,,
630,洋洋大观,洋洋：盛大、众多的样子；大观：丰富多采的景象。形容美好的事物众多丰盛。,第五十六组 与观看欣赏相关,,20,,
631,琳琅满目,琳琅：美玉。所见皆美玉。比喻杰出人才、好文章或精美物品很多。（多形容商品）,第五十六组 与观看欣赏相关,,20,,
632,引人入胜,引：吸引。胜：胜地。带人进入风景优美的地方。形容风景、作品很吸引人。,第五十六组 与观看欣赏相关,,20,,
633,叹沩观止,叹：赞叹。观止：看到这里就停止，不再看别的了，称赞所看的事物尽善尽美。赞美所看到的事物好到了极点。,第五十六组 与观看欣赏相关,,20,,
634,赏心悦目,悦目：看了舒服。指看到美好的景色而心情愉快。,第五十六组 与观看欣赏相关,,20,,
635,目不暇接,暇：空闲。接：接触。眼睛来不及看。形容吸引人的事物很多，看不过来。（主语是人,第五十六组 与观看欣赏相关,,20,,
636,眼花缭乱,缭乱：纷乱。因看到繁杂的事物而感到迷乱。（主语是人）,第五十六组 与观看欣赏相关,,20,,
637,心向往之,对某个人或事物心里很向往。,第五十六组 与观看欣赏相关,,20,,
638,心驰神往,驰：奔驰。心神奔向所向往的事物。形容一心向往。,第五十六组 与观看欣赏相关,,20,,
639,魂牵梦萦,在梦魂中还牵挂萦绕着。形容思念深切，无法排遣。,第五十六组 与观看欣赏相关,,20,,
640,侃侃而谈,容，也可以形容一个人善于交谈、风度翩翩。（褒义词）“侃侃”指理直气壮，从容不迫。该成语可以表示一个人在说话时表现出的自信和从,第五十七组 “说”相关,,20,,
641,高谈阔论,指漫无边际地大发言论。（多含贬义）,第五十七组 “说”相关,,20,,
642,夸夸其谈,说话或写文章浮夸、不切实际。,第五十七组 “说”相关,,20,,
643,口若悬河,“悬河”指瀑布。意为说话滔滔不绝，像河水倾泄一样，形容能说善辩，话语不断。,第五十七组 “说”相关,,20,,
644,巧舌如簧,意思是舌头灵巧，能言善辩，形容能说会道，善于狡辩。,第五十七组 “说”相关,,20,,
645,巧言令色,用来形容那些擅长使用花言巧语和伪善的面容来取悦他人的人。（含贬义）,第五十七组 “说”相关,,20,,
646,娓娓道来,是一种说话的方式，意思是不紧不慢地、从容地讲述。,第五十七组 “说”相关,,20,,
647,信口雌黄,信：任凭，听任；雌黄：即鸡冠石，黄色矿物，用作颜料。古人用黄纸写字，写错了，用雌黄涂抹后改写。比喻不顾事实，随口乱说。,第五十七组 “说”相关,,20,,
648,人云亦云,云：说。人家怎么说，自己也跟着怎么说。指没有主见或创见。（侧重于说）,第五十七组 “说”相关,,21,,
649,拾人牙慧,拾：捡取。牙慧：指别人说过的话。比喻袭用他人的意见或言论。,第五十七组 “说”相关,,21,,
650,推心置腹,意思是把赤诚的心交给人家。比喻真心待人。,第五十七组 “说”相关,,21,,
651,开诚布公,开诚：敞开胸怀，表示诚意。布公：公正无私地发表自己的见解。表示坦白无私，真诚相待，能诚恳坦率地提出自己的看法。,第五十七组 “说”相关,,21,,
652,披肝沥胆,披：剖露。沥：滴下。露出肝脏，滴出胆汁。比喻对人对事非常忠诚。,第五十七组 “说”相关,,21,,
653,老调重弹,有新意。调：调子；曲调。陈旧的曲调重新弹奏。比喻已经说过的话再说过；也指说话或文章没,第五十七组 “说”相关,,21,,
654,陈词滥调,陈词：陈旧的不合实用的言词；滥：空泛；失真。陈旧、空泛、不切实际的论调。,第五十七组 “说”相关,,21,,
655,老生常谈,老书生经常讲的话。比喻听厌了的没有新鲜意思的话（也做中性）,第五十七组 “说”相关,,21,,
656,流口常谈,流：传播；口：人们的嘴巴；常：经常；谈：谈论。意为某个话题或某个人的事迹被人们广泛传播和谈论，成为大家经常谈论的对象,第五十七组 “说”相关,,21,,
657,绘声绘色,绘：描绘。形容描写、叙事生动逼真。同“绘声绘影”“绘影绘声”。,第五十八组“演”相关,,21,,
658,活灵活现,意思是形容神情逼真、传神，使人有亲眼所见的感觉。,第五十八组“演”相关,,21,,
659,惟妙惟肖,惟：语气助词。肖：相像。形容描写、模仿得非常逼真。,第五十八组“演”相关,,21,,
660,栩栩如生,栩栩：生动的样子。指艺术形象非常逼真，如同活的一样。,第五十八组“演”相关,,21,,
661,有声有色,形容说话或表演精彩生动。,第五十八组“演”相关,,21,,
662,一板一眼,比喻言语、行动有条理或合规矩。有时也比喻做事死板，不懂得灵活掌握。,第五十八组“演”相关,,21,,
663,此起彼伏,【多形容声音或事物接连不断出现）这里起来，那里落下。表示频繁地出现或产生。同“此起彼落”。缕：线。像一根细线那样连着，差一点儿就要断了。1.形容形势十分危急。2.形容声音微,第五十九组“听”相关,,21,,
664,不绝如缕,弱而悠长。（现在用法有改变，常被用来形容不断绝）,第五十九组“听”相关,,21,,
665,经久不息,经过长时间停不下来。,第五十九组“听”相关,,21,,
666,震耳欲聋,形容声音很大，耳朵都快震聋了。,第五十九组“听”相关,,21,,
667,人声鼎沸,鼎：古代煮食器；沸：沸腾。形容人群的声音吵吵嚷嚷，就象煮开了锅一样。沸：沸腾。反：翻转。盈：充满。像沸腾的水那样翻滚着，响声充满了空间。形容喧哗,第五十九组“听”相关,,21,,
668,沸反盈天,吵闹，一片混乱。（程度稍重）,第五十九组“听”相关,,21,,
669,笌云裂石,穿破云天，震裂石头。形容声音高亢嘹亮。,第五十九组“听”相关,,21,,
670,佶屈骜牙,佶屈：曲折；弊牙：不顺口。指文章读起来不顺口。,第六十组“写”相关,,21,,
671,入木三分,形容书法笔力强劲。后也比喻看问题精辟、深刻。（也可形容对人物的描写形象深刻）,第六十组“写”相关,,21,,
672,只言片语,简短零碎的话语、文字。形容语言文字数量极少。,第六十组“写”相关,,21,,
673,春秋笔法,即用笔曲折而意含褒贬的写作手法。,第六十组“写”相关,,21,,
674,皮里阳秋,藏在心里不说出来的言论，表面上不直接发表评论，但实际上内心有褒贬不同的看法。,第六十组“写”相关,,21,,
675,微言大义,意思是包含在精微语言里的深刻的道理。,第六十组“写”相关,,21,,
676,字斟句酌,用来形容人在写作或说话时的态度非常认真和细致，对于每一个字词和句子都会进行仔细地考虑和推敲。,第六十组“写”相关,,21,,
677,连篇累牍,形容篇幅过多，文词冗长。,第六十组“写”相关,,21,,
678,惜墨如全,意思是爱惜墨就像金子一样，指不轻易动笔。,第六十组“写”相关,,21,,
679,删繁就简,意思是去掉删除繁杂部分，使它趋于简明。,第六十组“写”相关,,21,,
680,形容表达,一气呵成 1.形容文章的气势首尾贯通。2.形容完成整个工作的过程中不间断，不松懈。,第六十组“写”相关,,21,,
681,倚马可待,倚靠着即将出征的战马起草文件，却可以立等完稿。形容文思敏捷，文章写得快。,第六十组“写”相关,,21,,
682,形容表达,一挥而就 就：完成。原义是一挥笔就能成功。指才思敏提，写字、作文或画画速度很快。,第六十组“写”相关,,22,,
683,文不加点,点：古人写文章在字的右上角涂一点，表示删去。文章不用涂改，一气写成。形容文思敏捷，写作技巧高超。,第六十组“写”相关,,22,,
684,身无长物,除自身外再没有多余的东西。形容贫穷。,第六十一组“钱”相关,,22,,
685,一文不名,形容人非常穷困，一文钱都没有。,第六十一组“钱”相关,,22,,
686,一穷二白,穷：指物质基础差；白：指文化和科学落后。比喻基础差，底子薄。,第六十一组“钱”相关,,22,,
687,积贫积弱,意思是长期积累的贫困衰弱，形容极度的贫困和弱小。或指以前的行为导致现在的衰弱局面。,第六十一组“钱”相关,,22,,
688,筚门圭窦,筚门：用竹条或树枝编成的门。圭窦：上尖下方的圭形的门洞。形容住室极其简陋。旧指穷人住处。,第六十一组“钱”相关,,22,,
689,桑枢瓮牖,枢：门上的转轴；瓮：简陋的窗户。用桑树做门轴，用瓦罐做窗户，比喻贫苦之家。,第六十一组“钱”相关,,22,,
690,肥马轻裘,裘：皮衣。骑肥壮的马，穿轻暖的皮衣。形容阔绰。,第六十一组“钱”相关,,22,,
691,钟鸣鼎食,钟：古代乐器；鼎：古代炊器。击钟列鼎而食。形容贵族的豪华排场。,第六十一组“钱”相关,,22,,
692,养尊处优,养：指生活。指生活在有人伺候、条件优裕的环境中。,第六十一组“钱”相关,,22,,
693,随遇而安,随：顺从。遇：境遇。安：安然。处在任何环境中，都能安然自得，感到满足。,第六十二组“心态”相关,,22,,
694,安之若素,素：平常。指身处逆境、遭到困难或遭受挫折时能泰然处之，跟平常一样。,第六十二组“心态”相关,,22,,
695,安贫乐道,道：主张，思想。安于贫穷，以坚持自己的信念为乐。旧时士大夫所主张的为人处世之道。,第六十二组“心态”相关,,22,,
696,泰然处之,泰然：安然，不以为意的样子；处：处理，对待。形容毫不在意，沉着镇定。,第六十二组“心态”相关,,22,,
697,从容不迫,从容：不慌不忙，很镇静；不迫：不急促。不慌不忙，沉着镇定。,第六十二组“心态”相关,,22,,
698,神色自若,外表神态自然，不显露紧张或慌乱，侧重于外在表情的平稳，不因外界影响而变化。,第六十二组“心态”相关,,22,,
699,无所适从,适：往。从：跟随。不知听从哪一个好。指不知该怎么办。（侧重面临选择）,第六十二组“心态”相关,,22,,
700,不知所措,措：处置，安排。不知道应该怎么办。,第六十二组“心态”相关,,22,,
701,寝食难安,形容放心不下眼前的事，焦急到了极点，都到了睡也睡不着，吃也吃不好的地步了。,第六十二组“心态”相关,,22,,
702,如坐针毡,像坐在插着针的毡子上。形容心神不定，坐立不安。,第六十二组“心态”相关,,22,,
703,如芒在背,如同芒刺扎于背上，形容焦躁的心情。,第六十二组“心态”相关,,22,,
704,手足无措,措：安放。手脚不知放到哪里才好。形容举止慌乱，或无法应对。,第六十二组“心态”相关,,22,,
705,杯弓蛇影,将映在酒杯里的弓影误认为蛇。比喻因疑神疑鬼而引起恐惧。,第六十二组“心态”相关,,22,,
706,噤若寒蝉,噤：闭口不作声。象深秋的蝉那样一声不吭。比喻因害怕有所顾虑而不敢说话。,第六十三组 顾忌和无所顾忌,,22,,
707,谈虎色变,色：脸色。比喻一提起可怕的事情，脸色就变了。,第六十三组 顾忌和无所顾忌,,22,,
708,畏首畏尾,形容做事胆小，多所猜忌顾虑，畏缩不前,第六十三组 顾忌和无所顾忌,,22,,
709,投鼠忌器,投：用东西去掷；忌：怕，有所顾虑。想用东西打老鼠，又怕打坏了近旁的器物。比喻做事有顾忌，不敢放手干。,第六十三组 顾忌和无所顾忌,,22,,
710,肆意妄为,为。亦作“肆意安行”。妄：胡乱，非分的，出了常规的。妄为：胡作非为。指不顾一切由着自己的性子胡作非,第六十三组 顾忌和无所顾忌,,22,,
711,肆无忌惮,肆：放肆。忌：顾忌。惮：惧怕。非常放肆，毫无顾忌和畏惧。,第六十三组 顾忌和无所顾忌,,22,,
712,按图索骥,索：寻找。骥：良马。照着图像去寻找良马。比喻做事死守教条，而不懂得变通。也比喻依据一定的线索去寻找事物。（中性词）,第六十四组 调查相关,,22,,
713,刨根问底,比喻追究底细。,第六十四组 调查相关,,22,,
714,顺藤摸瓜,摸：寻找。比喻按照某个线索查究事情。,第六十四组 调查相关,,22,,
715,披沙拣金,从大量数据中筛选有价值信息。,第六十四组 调查相关,,23,,
716,捕风捉影,比喻说话或做事时用似是而非的迹象做根据。,第六十四组 调查相关,,23,,
717,妄自菲薄,妄：不合理地，无根据地。菲薄：轻视，瞧不起。毫无根据地小看自己。形容自轻自贱。,第六十五组 自我评价不当,,23,,
718,自惭形秽,惭：惭愧。形：形象，模样。秽：邪恶，丑陋。因为自己模样丑陋而感到惭愧。也泛指自己觉得不如别人而感到惭愧。,第六十五组 自我评价不当,,23,,
719,自暴自弃,暴：损害。弃：抛弃。指自己糟蹋自己，自己看不起自己，甘心于落后。（程度较重）,第六十五组 自我评价不当,,23,,
720,自怨自艾,指悔恨。（埋怨自己）自怨：悔恨自己的错误。自艾：改正自己的错误。原指悔恨并且改正自己的错误，后多,第六十五组 自我评价不当,,23,,
721,怨天尤人,怨：怨恨。天：指命运。尤：责怪。指遇到挫折、麻烦时一味抱怨命运和别人，而不寻找自身的原因。（埋怨他人）,第六十五组 自我评价不当,,23,,
722,夜郎自大,夜郎：汉代时位于我国西南部的一个小国。比喻妄自尊大。,第六十五组 自我评价不当,,23,,
723,盛气凌人,盛气：骄横的气势。凌：欺负。指以骄横的气势欺负人。,第六十五组 自我评价不当,,23,,
724,弹冠相庆,弹冠：掸掉帽子上的灰尘。指即将做官而互相庆贺，多用于贬义。,第六十六组 近似成语,,23,,
725,额手相庆,额手：把手举到额头上。把手举到额头上互相庆贺。,第六十六组 近似成语,,23,,
726,优胜劣汰,指生物在生存竞争中适应力强的保存下来，适应力差的被淘汰。,第六十六组 近似成语,,23,,
727,弱肉强食,弱者的肉是强者的食物。比喻弱者被强者所欺凌、吞并等。（常用于形容竞争）,第六十六组 近似成语,,23,,
728,粉墨登场,粉墨：傅粉施墨，指化妆。场：戏场，舞台。化好妆登台演戏。也比喻登上政治舞台，含讥讽义。（字面义时为中性词，比喻义时为贬义词）,第六十六组 近似成语,,23,,
729,登堂入室,堂、室：古代宫室前为堂后为室。比喻学识由浅入深，逐步达到很高的成就。同“升堂入室”。,第六十六组 近似成语,,23,,
730,百家争鸣,比喻各种学术派别竞相争辩鸣放。,第六十六组 近似成语,,23,,
731,百家齐放,各色的鲜花一齐开放。后多比喻文艺上不同的形式和风格自由地发展。,第六十六组 近似成语,,23,,
732,耸人听闻,耸：惊动。指故意夸大或捏造事实，使人听后感到震惊。,第六十六组 近似成语,,23,,
733,骇人听闻,骇：震惊。使人听了非常吃惊、害怕。,第六十六组 近似成语,,23,,
734,不易之论,易：更改。指不可更改的言论。,第六十六组 近似成语,,23,,
735,不刊之论,刊：削，修改。不可改动或不可磨灭的言论。,第六十六组 近似成语,,23,,
736,朝乾夕惕,乾：乾乾，即自强不息；惕：小心谨慎。形容一天到晚勤奋谨慎，没有一点疏忽懈怠。,第六十六组 近似成语,,23,,
737,夕惕若厉,若：如；厉：危。朝夕戒惧，如临危境，不敢稍懈。,第六十六组 近似成语,,23,,
738,曲高和寡,曲：音乐曲调。局：高深。和：限着唱。意为曲调越高深，能跟着唱的人越少。比喻思想、言行、文艺作品等高深，不能为多数人所理解接受,第六十六组 近似成语,,23,,
739,阳春白雪,原为战国时楚国的深奥高雅的歌曲。后泛指高雅、不通俗的文学艺术。,第六十六组 近似成语,,23,,
740,戎马倥偬,戎马：本指战马，借指军事；倥偬：繁忙。形容军务繁忙。,第六十六组 近似成语,,23,,
741,厉兵秣马,厉：同“砺”，磨；兵：兵器；秣：喂牲口。磨好兵器，喂好马。形容准备战斗。,第六十六组 近似成语,,23,,
742,不容置喙,喙：嘴。不容许插嘴。,第六十六组 近似成语,,23,,
743,不容置疑,容：允许。不允许加以怀疑。指绝对真实可信。,第六十六组 近似成语,,23,,
744,移花接木,把枝条、嫩芽从一种花木嫁接到另一种花木上。比喻暗中更换。,第六十六组 近似成语,,24,,
745,偷梁换桂,比喻暗中耍手段改变事物内容，以假代真，以劣代优。,第六十六组 近似成语,,24,,
746,李代桃僵,李：李树。桃：桃树。僵：枯死。李树代桃树而死。比喻兄弟相爱相助，患难与共。也比喻以此代彼或代人受过。（多贬义）,第六十六组 近似成语,,24,,
747,张冠李戴,冠：帽子。比喻弄错了事实或对象。（主观上故意或者不故意）,第六十六组 近似成语,,24,,
748,渊浐岳峙,比喻人品德如渊水深沉，如高山耸立。,第六十七组 生僻成语,,24,,
749,不分珍域,珍域：范围，界限。不分界限、范围。也比喻不分彼此。,第六十七组 生僻成语,,24,,
750,毛举细故,毛：琐碎；细故：小事。指烦琐地列举小事情，加以责难或攻击。,第六十七组 生僻成语,,24,,
751,吉光片羽,1吉光：古代神话中的神兽名；片羽：一片毛。比喻残存的珍贵文物。,第六十七组 生僻成语,,24,,
752,钟灵毓秀,钟：凝聚，集中；毓：养育。凝聚了天地间的灵气，孕育着优秀的人物。指山川秀美，人才辈出。,第六十七组 生僻成语,,24,,
753,瑕瑜互见,见：通“现”，显现。比喻优点、缺点都有。,第六十七组 生僻成语,,24,,
754,沉思翰藻,构思深刻，辞藻华丽。,第六十七组 生僻成语,,24,,
755,太阿倒持,倒拿着剑，把剑柄给别人。比喻把大权交给别人，自己反受其害。,第六十七组 生僻成语,,24,,
